Quarter,Table,Category,Subcategory,Previous Qtr (Thousand),Current Qtr (Thousand),Qtr-to-qtr change (Thousand),Year-on-year change (Thousand),Qtr-to-qtr change (%),Year-on-year change (%),Unemployment Rate (%),Absorption Rate (%),Labour Force Participation Rate (%),Coefficient of Variation Previous Qtr (%),Coefficient of Variation Current Qtr (%),Year-on-year change (Thousand),Lower 95% (Thousand),Upper 95% (Thousand),P-value
Q2 2022,Table A,Population,15–64 years,40033,40177,145,578,0.4,1.3,,,,
Q2 2022,Table A,Labour Force,,23557,23920,364,1414,1.5,6.3,,,,
Q2 2022,Table A,Employed,Total,14914,15562,648,620,4.3,4.1,,,,
Q2 2022,Table A,Unemployed,,8643,8358,-285,794,-3.3,10.5,,,,
Q2 2022,Table A,Not economically active,Total,16476,16257,-219,-836,-1.3,-4.9,,,,
Q2 2022,Table A,Rates,Unemployment rate,,36.5,34.5,-2.0,0.9,34.5,,,
Q2 2022,Table A,Rates,Employed/population ratio (absorption),,37.3,38.7,1.4,1.0,,38.7,,
Q2 2022,Table A,Rates,Labour force participation rate,,58.8,59.5,0.7,2.7,,,59.5,,
Q2 2022,Table E,Unemployment rate by province,South Africa,35.3,33.9,-1.4,-1.0,33.9,,,
Q2 2022,Table E,Unemployment rate by province,Western Cape,25.8,27.7,1.9,0.2,27.7,,,
Q2 2022,Table E,Unemployment rate by province,Eastern Cape,42.4,42.1,-0.3,-5.0,42.1,,,
Q2 2022,Table E,Unemployment rate by province,Northern Cape,49.3,39.8,-9.5,-1.2,39.8,,,
Q2 2022,Table E,Unemployment rate by province,Free State,39.4,35.0,-4.4,-3.1,35.0,,,
Q2 2022,Table E,Unemployment rate by province,KwaZulu-Natal,42.1,41.0,-1.1,-1.1,41.0,,,
Q2 2022,Table E,Unemployment rate by province,North West,42.1,42.6,0.5,2.3,42.6,,,
Q2 2022,Table E,Unemployment rate by province,Gauteng,37.1,35.3,-1.8,-1.1,35.3,,,
Q2 2022,Table E,Unemployment rate by province,Mpumalanga,37.2,37.5,0.3,0.0,37.5,,,
Q2 2022,Table E,Unemployment rate by province,Limpopo,35.5,35.6,0.1,0.0,35.6,,,
Q2 2022,Table 3.1B,Employment by industry and sex,Both sexes,0.8,0.8,154,-161,469,0.34,0.8,0.8,154,-161,469,0.34
Q2 2022,Table 3.1B,Employment by industry and sex,Agriculture,5.1,5.8,10,-117,137,0.88,5.1,5.8,10,-117,137,0.88
Q2 2022,Table 3.1B,Employment by industry and sex,Mining,6.4,9.4,-23,-105,59,0.58,6.4,9.4,-23,-105,59,0.58
Q2 2022,Table 3.1B,Employment by industry and sex,Manufacturing,3.0,3.1,17,-116,149,0.80,3.0,3.1,17,-116,149,0.80
Q2 2022,Table 3.1B,Employment by industry and sex,Utilities,11.4,12.1,25,-14,64,0.21,11.4,12.1,25,-14,64,0.21
Q2 2022,Table 3.1B,Employment by industry and sex,Construction,3.4,3.5,55,-52,162,0.31,3.4,3.5,55,-52,162,0.31
Q2 2022,Table 3.1B,Employment by industry and sex,Trade,2.1,2.2,-45,-245,156,0.66,2.1,2.2,-45,-245,156,0.66
Q2 2022,Table 3.1B,Employment by industry and sex,Transport,3.9,3.5,51,-60,162,0.37,3.9,3.5,51,-60,162,0.37
Q2 2022,Table 3.1B,Employment by industry and sex,Finance,2.1,2.9,79,-100,258,0.39,2.1,2.9,79,-100,258,0.39
Q2 2022,Table 3.1B,Employment by industry and sex,Community and social services,1.9,2.0,45,-138,228,0.63,1.9,2.0,45,-138,228,0.63
Q2 2022,Table 3.1B,Employment by industry and sex,Private households,3.3,3.7,-54,-156,48,0.30,3.3,3.7,-54,-156,48,0.30
Q2 2022,Table 3.1B,Employment by industry and sex,Women,1.0,1.1,-48,-256,160,0.65,1.0,1.1,-48,-256,160,0.65
Q2 2022,Table 3.1B,Employment by industry and sex,Agriculture (Women),8.4,10.5,-17,-75,41,0.57,8.4,10.5,-17,-75,41,0.57
Q2 2022,Table 3.1B,Employment by industry and sex,Mining (Women),11.8,15.4,-17,-40,6,0.17,11.8,15.4,-17,-40,6,0.17
Q2 2022,Table 3.1B,Employment by industry and sex,Manufacturing (Women),4.6,4.7,-35,-106,36,0.34,4.6,4.7,-35,-106,36,0.34
Q2 2022,Table 3.1B,Employment by industry and sex,Utilities (Women),24.7,19.2,19,-2,40,0.07,24.7,19.2,19,-2,40,0.07
Q2 2022,Table 3.1B,Employment by industry and sex,Construction (Women),10.6,9.7,10,-27,47,0.59,10.6,9.7,10,-27,47,0.59
Q2 2022,Table 3.1B,Employment by industry and sex,Trade (Women),3.0,2.9,-83,-211,45,0.21,3.0,2.9,-83,-211,45,0.21
Q2 2022,Table 3.1B,Employment by industry and sex,Transport (Women),8.5,8.6,-8,-53,37,0.73,8.5,8.6,-8,-53,37,0.73
Q2 2022,Table 3.1B,Employment by industry and sex,Finance (Women),3.2,3.7,119,15,223,0.03,3.2,3.7,119,15,223,0.03
Q2 2022,Table 3.1B,Employment by industry and sex,Community and social services (Women),2.2,2.4,-7,-155,141,0.92,2.2,2.4,-7,-155,141,0.92
Q2 2022,Table 3.1B,Employment by industry and sex,Private households (Women),3.5,4.1,-31,-115,53,0.46,3.5,4.1,-31,-115,53,0.46
